,0
1116,15222314.95
1117,15262434.64
1118,15302478.92
1119,15342442.55
1120,15382321.24
1121,15422110.82
1122,15461804.4
1123,15501394.92
1124,15540876.12
1125,15580242.61
1126,15619489.93
1127,15658614.64
1128,15697613.45
1129,15736480.18
1130,15775208.5
1131,15813792.93
1132,15852228.89
1133,15890512.82
1134,15928642.23
1135,15966614.76
1136,16004425.07
1137,16042067.67
1138,16079537.94
1139,16116832.22
1140,16153947.89
1141,16190883.44
1142,16227637.66
1143,16264206.28
1144,16300584.71
1145,16336769.28
1146,16372757.29
1147,16408547.11
1148,16444138.25
1149,16479530.91
1150,16514722.42
1151,16549709.22
1152,16584488.66
1153,16619059.08
1154,16653419.89
1155,16687571.64
1156,16721515.83
1157,16755251.56
1158,16788776.37
1159,16822088.66
1160,16855187.81
1161,16888074.27
1162,16920749.59
1163,16953216.44
1164,16985475.7
1165,17017526.04
1166,17049366.9
1167,17080998.67
1168,17112422.73
1169,17143641.59
1170,17174658.86
1171,17205477.08
1172,17236096.11
1173,17266516.31
1174,17296738.96
1175,17326766.31
1176,17356601.64
1177,17386249.31
1178,17415713.26
1179,17444994.49
1180,17474094.19
1181,17503014.38
1182,17531758
1183,17560328.92
1184,17588732.03
1185,17616972.31
1186,17645051.83
1187,17672972.44
1188,17700736.78
1189,17728348.25
1190,17755811.13
1191,17783130.61
1192,17810311.91
1193,17837357.56
1194,17864269.85
1195,17891051.71
1196,17917706.81
1197,17944239.52
1198,17970655.04
1199,17996958.54
1200,18023152.77
1201,18049240.18
1202,18075223.81
1203,18101107.28
1204,18126894.84
1205,18152591.37
1206,18178201.77
1207,18203728.74
1208,18229174.7
1209,18254542.56
1210,18279835.69
1211,18305057.93
1212,18330213.7
1213,18355307.34
1214,18380341.33
1215,18405317.89
1216,18430239.59
1217,18455109.36
1218,18479930.54
1219,18504706.82
1220,18529441.87
1221,18554137.79
1222,18578796.46
1223,18603419.99
1224,18628010.77
1225,18652571.46
1226,18677104.98
1227,18701614.22
1228,18726100.8
1229,18750566.17
1230,18775011.93
1231,18799439.84
1232,18823851.84
1233,18848250.07
1234,18872636.67
1235,18897012.89
1236,18921379.71
1237,18945738.23
1238,18970089.6
1239,18994435.11
1240,19018776.13
1241,19043114.09
1242,19067449.87
1243,19091784.05
1244,19116117.26
1245,19140450.16
1246,19164783.45
